This is the first Osage dictionary in the modern orthography =)
Each Osage word is written in the Osage alphabet and in a Latin transliteration
Can't see the Osage on your device? Download a font: https://www.google.com/get/noto/#sans-osge
This was not possible without the help of many volunteers
Thanks to Jakub, Wojtek, Filippos, Jonás, Victor, Aaron, Tahsin, Hubert, Christopher, Santiago, Max, and Batyah
Special thanks to Craig, Mark, Michele, and Aino!
I hope that this project will help people learn Osage so that the language can be passed onto future generations
-Harris

a, an	𐓷𐓣͘, 𐓷𐓣͘𐓸𐓲𐓟	wį, wįxce
house	𐓲𐓣, 𐓲𐓣𐓧𐓟	hcí, hcile
house: long ~ covered with brush or canvas	𐓷𐓘𐓻𐓘𐓣𐓲𐓣	wažáihci
house of God	𐓷𐓘𐓤𐓪͘𐓰𐓘𐓲𐓣	wahkǫ́tahci
housefly	𐓡𐓘͘𐓲𐓟𐓤𐓘	hą́hceka
houseful	𐓪𐓤𐓶𐓬𐓶	okúhpu
household	𐓲𐓣𐓧𐓟, 𐓪𐓲𐓣𐓧𐓟	hcile, ohcile
housekeeping: set up ~, set up a household	𐓲𐓣𐓧𐓟	hcile
how	𐓡𐓘𐓤𐓪͘, 𐓡𐓪͘𐓲𐓟	haakǫ́, hǫ́ǫche
how about	𐓡𐓘̨́𐓘	hą́a
how big	𐓡𐓘́𐓘𐓵𐓘𐓮𐓤𐓘͘	háaðaską
how far	𐓡𐓘́𐓘𐓰𐓸𐓘͘	háatxą
how long	𐓡𐓘́𐓘𐓰𐓸𐓘͘	háatxą
how many	𐓡𐓘́𐓘𐓩𐓘͘	háaną
how much	𐓡𐓘́𐓘𐓤𐓪͘, 𐓡𐓘𐓩𐓘͘	háakǫ́, háaną
how small	𐓡𐓘́𐓘𐓵𐓘𐓮𐓤𐓘͘	háaðaską
however	𐓪𐓵𐓘͘𐓻𐓣	oðąži
howl	𐓡𐓪𐓰𐓘͘	hóohtą
hug	𐓪𐓵́𐓣͘𐓤𐓟	oð́įįke
huge	𐓧𐓘͘𐓵𐓟 𐓷𐓘𐓧𐓣͘	lą́ąðe wálį
human	𐓩𐓣𐓤𐓘𐓮́𐓣𐓟	nihkaśie
human: be ~	𐓣𐓩𐓣𐓤𐓘𐓮́𐓣𐓟	inihkaśie
human body	𐓻𐓶𐓪𐓤𐓘	žúoka
humble	𐓷𐓘𐓸𐓬𐓘𐓵𐓣͘	waxpáðį
humorous	𐓷𐓘𐓡𐓪𐓡𐓪𐓰𐓘, 𐓷𐓘𐓡𐓪𐓰𐓘	wahóhota, wahóta
hunchback	𐓲'𐓪𐓸𐓟	cˀóxe
hundred, hundredth	𐓧𐓟𐓜𐓘͘ 𐓡𐓶𐓺́𐓣͘	lébrą huuźį
hungry	𐓩𐓪͘𐓬𐓟𐓡𐓣	nǫhpéhi
hunt for	𐓪𐓲𐓟	océ
hunting	𐓰𐓘𐓜𐓟	htáabre
hunting: go ~ (for)	𐓰𐓘𐓵r𐓟 𐓘𐓵𐓟	htáaðre aðée
hunting: squirrel ~	𐓮𐓣͘𐓤𐓪𐓲𐓟	sįkóce
hunting expedition: go on a ~	𐓤𐓘𐓧𐓪͘𐓵𐓟	kaalǫ́ðe
hunting time	𐓲𐓟𐓰𐓪𐓤𐓘 𐓤𐓣𐓮́𐓣𐓬𐓣	hceetóoka kiśipi
hurriedly	𐓸𐓣͘𐓩𐓘	xįna
hurry (verb)	𐓡𐓣𐓲𐓟	hice
hurry: cause to ~	𐓡𐓣́𐓲𐓟𐓵𐓟	híceðe
hurry: in a ~	𐓡𐓷𐓘𐓤𐓪͘𐓣	hwahkǫ́i
hurry: make someone ~	𐓷𐓘́𐓡𐓣𐓲𐓟	wáhice
hurry along	𐓰𐓘͘𐓵𐓣͘	htą́ąðį
hurry someone	𐓡𐓣𐓲𐓟𐓵𐓟	híceðe
hurry someone along	𐓣𐓡𐓣𐓲𐓟, 𐓷𐓘𐓡𐓣𐓲𐓟	ihíce, wáhice
hurry something up	𐓸𐓣͘𐓩𐓘 𐓤𐓘𐓹𐓟	xį́na káaɣe
hurry up!	𐓪𐓩𐓘𐓧𐓣͘	ónalį
hurrying toward something	𐓪𐓮𐓰𐓪𐓷𐓟	ostówe
hurt	𐓩𐓣𐓟	níe
hurt one another physically or emotionally	𐓤𐓣𐓧𐓣𐓻𐓪𐓺́𐓣	hkilíižoźi
hurt someone physically, mentally, or emotionally	𐓵𐓣𐓻𐓪𐓻𐓣	ðiižoži
husband		
my husband	𐓷𐓣𐓩𐓣𐓤𐓘, 𐓩𐓣𐓤𐓘 𐓷𐓣𐓰𐓘	winíhka, níhka wíhta
if the couple's first child is a boy	𐓷𐓣𐓻𐓣͘𐓤𐓟 𐓣𐓵𐓘𐓲𐓟 	wižį́ke iðáce 
when the husband is elderly	𐓲'𐓘𐓣𐓻𐓣͘	cˀáižį
your husband	𐓵𐓣𐓩𐓣𐓤𐓘, 𐓩𐓣𐓤𐓘 𐓵𐓣𐓰𐓘	ðiníhka, níhka ðíhta
her husband	𐓣𐓩𐓣𐓤𐓘, 𐓩𐓣𐓤𐓘 𐓣𐓰𐓘	iiníhka, níhka íhta
my/your/her husband	𐓣𐓧𐓪͘𐓬𐓘 𐓣𐓵𐓘𐓲𐓟	ilǫ́ǫhpa iðáce
husband: take as a ~	𐓘𐓵𐓶𐓹𐓟	áðuɣe
husk (noun): corn ~	𐓷𐓘𐓲𐓶𐓟𐓸𐓘͘	wacúexą
husk (verb)(e.g., corn)	𐓵𐓶𐓯𐓘𐓤𐓟	ðuušáake
I	𐓷𐓣𐓟 (𐓟𐓨𐓬𐓡𐓘𐓰𐓣𐓲)	wíe (emphatic)
I too	𐓷𐓣𐓯𐓤𐓣𐓰𐓘͘	wíškítą
Iba: Priscilla ~ (personal name)	𐓷𐓘𐓻𐓘𐓻𐓟𐓨𐓣͘𐓲𐓟𐓸𐓣͘	wažážemį́įhcexį
ice	𐓩𐓘͘𐓹𐓟	ną́ɣe
ice cream	𐓩𐓘͘𐓹𐓟 𐓤𐓣𐓬𐓯𐓟, 𐓩𐓘͘𐓹𐓟 𐓬𐓘𐓺𐓟𐓩𐓣	ną́ɣe kípše, ną́ɣe paazénii
ice tea	𐓬𐓟𐓻𐓟𐓩𐓣 𐓩𐓘͘𐓹𐓟 𐓪𐓧𐓘͘	hpéženii ną́ɣe oolą́
ice water	𐓩𐓘͘𐓹𐓟𐓩𐓣	ną́ɣenii
icebox	𐓩𐓘͘𐓹𐓟𐓪𐓻𐓶	ną́ɣeoožú
idea	𐓷𐓘𐓵𐓣𐓧𐓘͘, 𐓷𐓘𐓻𐓣͘	waðilą, wažį́
identical to	𐓤𐓪͘𐓺𐓟𐓤𐓪͘ 𐓣d𐓧𐓟 𐓪𐓤𐓘𐓹𐓠𐓤𐓟	kǫzékǫ idle ókaaɣeįke
if	𐓰𐓘͘ (𐓪f𐓰𐓟𐓩 𐓩𐓪𐓰 𐓪v𐓟r𐓰𐓧y 𐓟𐓸𐓬r𐓟𐓮𐓮𐓟d 𐓣𐓩 O𐓮𐓘g𐓟)	tą (often not overtly expressed in Osage)
ignorant: be ~ (about something, of something)	𐓤𐓣𐓪𐓬𐓸𐓘𐓻𐓣	kíopxaži
ill: be gravely ~	𐓣𐓬𐓣𐓻𐓣	íhpiiži
ill: be ~ with	𐓣𐓡𐓶𐓡𐓟𐓤𐓘	íhuheka
ill: do oneself	𐓤𐓣𐓧𐓶𐓬𐓣𐓻𐓣	hkilúhpiiži
ill fortune: having ~	𐓷𐓘𐓸𐓬𐓘𐓵𐓣͘	waxpáðį
ill-advised	𐓟𐓤𐓪͘𐓻𐓣	ékǫži
illegitimate, illegitimate child	𐓣𐓵𐓘𐓲𐓟 𐓣͘𐓤𐓟	íðace įké
ill-mannered	𐓪𐓤'𐓘͘ 𐓬𐓣𐓻𐓣	ókˀą hpíiži
illness	𐓡𐓶𐓡𐓟𐓤𐓘	húheka
illness: be free at last from ~	𐓪𐓩𐓣𐓤𐓣𐓟	ónihkie
illness: be suffering a period of ~	𐓪𐓤𐓘𐓯𐓟	ókaše
illness: have as an ~	𐓪͘	ǫ́ǫ
illness: suffer from an ~	𐓤𐓣𐓡𐓶𐓡𐓟𐓤𐓘	kihúheka
ill-tempered	𐓪𐓤'𐓘͘ 𐓬𐓣𐓻𐓣	ókˀą hpíiži
imitate	𐓣𐓤𐓪͘𐓮𐓤𐓘𐓤𐓣𐓵𐓟	íkǫskahkiðe
immaterial	𐓪𐓤𐓘𐓹𐓠𐓤𐓟 [LFÐ]	ókaaɣeįke [LFÐ]
immature	𐓩𐓪͘𐓡𐓣𐓻𐓣	nǫ́ǫhiži
immediately	𐓷𐓘͘𐓤𐓪͘𐓻𐓣͘	wąkǫ́ǫžį
immediately when: and ~	𐓘𐓡𐓘, 𐓣𐓘𐓡𐓘	áha, iáha
impatient: be ~	𐓣𐓡𐓣𐓲𐓟	íhice
impeded: be ~ by problems or sickness	𐓪𐓤𐓘𐓯𐓟	ókaše
impel someone to drunkness	𐓬𐓘𐓧𐓪͘𐓵𐓣͘	páalǫðį
imperative markers	𐓘, 𐓵𐓣, 𐓬𐓘𐓣	a, ði, pai
imperfectly: do (something) ~	𐓪𐓧𐓘͘𐓻𐓣	oolą́ąži
implement (tool)	𐓷𐓟𐓤𐓣𐓤'𐓪͘	wéhkikˀǫ
important	𐓧𐓘͘𐓵𐓟, 𐓪𐓸𐓰𐓘	lą́ąðe, óxta
important: make ~	𐓪𐓸𐓰𐓘𐓵𐓟	óxtaðe
important: make oneself ~	𐓪𐓸𐓰𐓘𐓤𐓣𐓵𐓟	óxtahkiðe
impossible, impossibly	𐓵𐓘͘𐓲𐓘𐓻𐓣	ðąącháži
improbable	𐓟𐓤𐓪͘𐓻𐓣𐓟 𐓮𐓤𐓘	ékǫžie ska
improbably	𐓵𐓘͘𐓲𐓘𐓺𐓣	ðąącházi
improve with regard to an illness	𐓤𐓣𐓰𐓘͘𐓡𐓟	kitą́he
in	𐓲𐓣 , 𐓤𐓣	ci , ki
in: be ~ an area or a group of people	𐓪𐓨𐓘͘𐓵𐓣͘	omą́ðį
in: go ~	𐓪𐓬𐓟	ohpé
in: live ~	𐓪𐓧𐓣͘	olįį
in: put ~	𐓪𐓻𐓶	oožú
in: put stuff ~	𐓪́𐓪𐓻𐓶	óožu
in (something lying or spread out)	𐓤𐓯𐓣	kši
in (something sitting or round)	𐓣͘𐓤𐓯𐓣	įkši
in a direction	𐓡𐓘	ha
in addition	𐓯𐓤𐓣	ški
in an offhand manner	𐓣𐓵𐓣𐓧𐓘͘ 𐓵𐓣͘𐓤𐓟	íðilą ðįké
in attendance: be ~	𐓘𐓡𐓣	ahi
in between	𐓪𐓰𐓘͘𐓩𐓘͘	ohtą́ną
in bulk	𐓜𐓪𐓤𐓘	bróka
in charge: be ~	𐓪𐓵𐓪𐓵𐓟	oðóðe
in charge: be ~ of	𐓪𐓵𐓪𐓷𐓘𐓵𐓟	oðówaðe
in front of and blocking	𐓪𐓵𐓪𐓯𐓣	oðóši
in harmony	𐓯𐓤𐓘𐓯𐓤𐓘𐓵𐓘	škaškáða
in order to, so that. (usually not overtly expressed in Osage, but only implied)
in place of (see dative prefix)		
in spite of	𐓪𐓵𐓘͘𐓻𐓣	óðąži
in that time	𐓟 𐓰𐓘𐓡𐓘	ée htáha
in the direction of	𐓟 𐓰𐓘𐓡𐓘, 𐓰𐓘, 𐓰𐓘𐓡𐓘	ée htáha, hta, htáha
in this manner	𐓤𐓘𐓤𐓪͘	kaakǫ́
in this place	𐓤𐓘́𐓘	káa
inadequate: be ~	𐓪𐓧𐓘͘𐓻𐓣	oolą́ąži
inappropriate	𐓟𐓻𐓣, 𐓟𐓤𐓪͘𐓻𐓣	éeži, ékǫži
inappropriate, inappropriate action	𐓪𐓤'𐓘͘ 𐓟𐓤𐓪͘𐓻𐓣	ókˀą ekǫ́ži
inappropriately	𐓟𐓤𐓪͘𐓣͘𐓤𐓟, 𐓣𐓰𐓘𐓡𐓘𐓻𐓣	ekǫ́įke, íhtaháaži
inceptive prefix	𐓤𐓣-	ki-
incessantly	𐓯𐓰𐓘͘	štą
incinerated: be ~	𐓰𐓘𐓵𐓣͘𐓤𐓟 𐓤𐓘𐓹𐓟	táaðįke káaɣe
incite	𐓪𐓻𐓣𐓻𐓣𐓟	ožížie
incorrect: be ~	𐓵𐓣𐓤𐓯𐓣͘𐓲𐓟	ðikšįce
incorrectly	𐓟𐓤𐓪͘𐓣͘𐓤𐓟	ekǫ́įke
increase in size	𐓰𐓘͘	htą́ą
increase something a bit	𐓷𐓟𐓡𐓶𐓻𐓣͘	wéhuužį
indeed	𐓷𐓘𐓧𐓣͘	wálį
indeed (adverb)	𐓸𐓲𐓣, -𐓻𐓣͘	xci, -žį
index finger	𐓪𐓬𐓘𐓺𐓪	opázo
Indian, Indians	𐓩𐓣𐓤𐓘 𐓻𐓶𐓲𐓟	níhka žúuce
"Indian butter" (i.e. meat grease)	𐓰𐓘𐓷𐓟𐓧𐓣	htáaweli
individual	𐓩𐓣𐓤𐓘𐓯𐓣𐓟, 𐓪𐓤𐓘͘𐓲𐓣	níhkašie, ohką́ci
indoors	𐓲𐓣𐓰𐓘	hcíhta
industrious	𐓷𐓘𐓰𐓪𐓤𐓟	wahtóke
inebriated	𐓧𐓪͘𐓵𐓣͘, 𐓪𐓨𐓘͘𐓣͘𐓻𐓣͘	lǫ́ðį, omą́įžį
inebriated: very badly ~	𐓷𐓟𐓡𐓧𐓣𐓬𐓣𐓻𐓣	wéehlihpíiži
inefficient	𐓡𐓪͘𐓻𐓣	hǫ́ǫži
inevitably	𐓪𐓵𐓘͘𐓻𐓣	óðąži
inexpensive	𐓪𐓨𐓘͘𐓤𐓘	ómąhka
infamous	𐓣𐓮𐓟𐓷𐓘𐓵𐓟	iiséwaðe
infant, infancy	𐓬𐓘𐓻𐓣͘	hpáažį
inferior	𐓡𐓪͘𐓻𐓣	hǫ́ǫži
inferior: be ~	𐓪𐓧𐓘͘𐓻𐓣͘	oolą́ąžį
inflict upon oneself	𐓟𐓤𐓣𐓪͘	éhkiǫ
inform	𐓪𐓵𐓘𐓤𐓟	óðaake
inhabit	𐓪𐓧𐓣͘	olį́į
inherit	𐓘𐓧𐓘𐓵𐓣͘	aláðį
injunctive markers	𐓲𐓟, 𐓰𐓘𐓣	hce, htai
inner ear	𐓩𐓘͘𐓹𐓶𐓲𐓟	nąąɣúce
innocent	𐓣𐓧𐓘𐓩𐓘͘𐓵𐓣͘𐓤𐓟	ilánąðįké
inoculation: administer an ~	𐓨𐓘͘𐓤𐓘 𐓪𐓵𐓣𐓤'𐓟	mąhká oðíkˀe
inquire after one's own people or things	𐓣𐓧𐓪͘𐓹𐓟	ilǫ́ɣe
inquire into	𐓘𐓤𐓘𐓺𐓪	ákazo
insane	𐓲'𐓟𐓤𐓘	cˀéka
insect	𐓬𐓘𐓵𐓪, 𐓷𐓘𐓧𐓶𐓯𐓤𐓘	páðo, walúška
inside, in (as in 'come in/inside [the house]')	𐓲𐓣𐓰𐓘	hcíhta
inside: place ~ of	𐓪𐓧𐓘͘	oolą́
inside out	𐓡𐓘𐓯𐓣͘𐓵𐓟	háašįðe
inside out: make ~	𐓵𐓶𐓡𐓘𐓯𐓣͘𐓵𐓟	ðuháašįðe
insides (entrails)	𐓯𐓶𐓬𐓟	šúpe
insolent	𐓷𐓘𐓤𐓘𐓲'𐓘𐓣𐓻𐓣	wakaacˀáiži
inspect	𐓘𐓤𐓘𐓺𐓪	ákazo
instill fear in	𐓵𐓶𐓮𐓘𐓤𐓣	ðusáaki
instruct	(𐓮𐓟 d𐓣𐓮𐓲𐓶𐓮𐓮𐓣𐓪𐓩 𐓶𐓩d𐓟r 𐓲𐓟 𐓟)	(see discussion under hce ée)
instrument: musical ~	𐓬𐓘𐓤𐓣𐓲𐓟	paakíce
instrument: wind ~	𐓪𐓬𐓣𐓹𐓘͘	opíɣą
instrumental prefixes [instr]	𐓵𐓘-, 𐓵𐓶-, 𐓤𐓘-, 𐓩𐓘͘-, 𐓬𐓘-, 𐓬𐓘-, 𐓬𐓣-, 𐓬𐓪-, 𐓬𐓶-, 𐓰𐓘ðaa-, ðu-, kaa-, nąą-, pá-, paa-, pi-, pó-, pu-, táa-
insufficient	𐓟𐓩𐓘͘𐓻𐓣	eeną́ži
insufficient (said of clothing)	𐓲𐓶𐓵𐓘	cúuða
insult by word	𐓵𐓘𐓻𐓪𐓻𐓣	ðaažóži
intelligent, intelligence	𐓷𐓘𐓵𐓣𐓧𐓘͘𐓰𐓘͘	waðíląhtąą
intend	𐓷𐓘𐓤𐓯𐓟	wakšé
intense: more ~	𐓪𐓡𐓟𐓮𐓘𐓻𐓣	óhesaži
intercourse: have ~	𐓷𐓘𐓲𐓶	wachú
intercourse: have ~ with	𐓘𐓵𐓣͘𐓘𐓻𐓘͘, 𐓲𐓶𐓟	aðį́ažą, chúe
interest money	𐓨𐓘͘𐓺𐓟𐓮𐓤𐓘 𐓪𐓵𐓪𐓰𐓘͘, 𐓪𐓵𐓵𐓰𐓘͘ 𐓨𐓘͘𐓺𐓟𐓮𐓤𐓘	mą́zeska oðótą, oððtą mą́zeska
intermingle	𐓪𐓵𐓪𐓤𐓣𐓵𐓟	oðóhkiðe
interpret for another	𐓣𐓟 𐓷𐓘𐓮𐓤𐓘 𐓣𐓤𐓣𐓤𐓘𐓹𐓟	íe waská íkikaaɣe
interpreter	𐓣𐓟 𐓷𐓘𐓮𐓤𐓘	íe waská
interrogate	𐓣𐓵𐓪͘𐓹𐓟	íðǫɣe
interrupt	𐓪𐓤𐓣𐓤'𐓪͘𐓡𐓟	ohkíkˀǫhe
interview, interview a person	𐓪𐓤𐓣́𐓟	ohkí́e
intestines	𐓯𐓶𐓬𐓟	šúpe
into	𐓰𐓘, 𐓤𐓣	hta, ki
into: fall or jump ~	𐓪𐓤𐓣𐓪͘𐓵𐓟	ohkíǫðe
into: get ~	𐓪𐓤𐓣𐓪͘𐓵𐓟	ohkíǫðe
into: get oneself ~ something by oneself	𐓟𐓷𐓘𐓤𐓣𐓪͘𐓵𐓟	éwahkiǫ́ðe
into: go ~	𐓪𐓬𐓟	ohpé
into: put ~	𐓪𐓤'𐓪͘𐓡𐓟, 𐓪𐓧𐓘͘	okˀǫ́he, oolą́
intoxicated	𐓧𐓪͘𐓵𐓣, 𐓷𐓟𐓡𐓧𐓣𐓬𐓣𐓻𐓣	lǫ́ði, wéehlihpíiži
invert	𐓵𐓣𐓮𐓘͘𐓵𐓘	ðiisą́ða
invert one's own	𐓧𐓣𐓮𐓘͘𐓵𐓘	liisą́ða
investigate	𐓵𐓶𐓬𐓸𐓘𐓵𐓟, 𐓷𐓘𐓵𐓶𐓬𐓸𐓘𐓣	ðuupxáðe, waðúupxai
invite folks	𐓷𐓘𐓬𐓘͘	wapą́
invite folks to appear before others	𐓷𐓘́𐓘𐓬𐓘͘	wáapą
invite one's relative(s)	𐓤𐓣𐓬𐓘͘	kíhpą
invite others to feast	𐓤𐓣𐓡𐓸𐓪	kíhxo
invite someone (not a relatives)	𐓤𐓣𐓬𐓘͘	kípą
inward	𐓨𐓘͘𐓲𐓟𐓰𐓘𐓡𐓘	mąchéhtaha
Iowa or Ioway Indians	𐓬𐓘𐓸𐓪𐓲𐓟	páxoce
irascible	𐓪𐓤'𐓘͘ 𐓬𐓣𐓻𐓣, 𐓷𐓘𐓵𐓣𐓧𐓘͘ 𐓘𐓯𐓤𐓘	ókˀą hpíiži, waðílą áška
iron (verb)	𐓵𐓶𐓯𐓰𐓘𐓡𐓘, 𐓬𐓶𐓯𐓰𐓘𐓡𐓘, 𐓷𐓘𐓬𐓶𐓯𐓰𐓘𐓡𐓘	ðuuštáha, puštáha, wapúštaha
iron (verb), iron something	𐓷𐓘𐓵𐓶𐓯𐓰𐓘𐓡𐓘	waðúuštaha
iron (metal)	𐓨𐓘͘𐓺𐓟	mą́ze
Iron Hawk (personal name)	𐓧𐓟𐓰𐓘͘𐓨𐓘͘𐓺𐓟	letą́mąze
Iron Necklace (personal name)	𐓨𐓘͘𐓺𐓟 𐓷𐓘𐓩𐓪͘𐓬'𐓣͘	mą́ze wanǫ́pˀį
irrelevant	𐓟 𐓰𐓘𐓡𐓘𐓻𐓣	ée htáhaži
irritable	𐓷𐓘𐓵𐓣𐓧𐓘͘ 𐓘𐓯𐓤𐓘	waðílą áška
irritated: be ~ by	𐓘𐓧𐓘𐓤𐓟	áalake
island	𐓩𐓣𐓪͘𐓰𐓘 𐓻𐓣͘𐓤𐓘	niǫhta žįka
isn't it so?	𐓡𐓣͘	hį́
isolate	𐓪𐓤𐓘͘𐓲𐓣 𐓤𐓘𐓹𐓟	ohką́ci káaɣe
isolated	𐓪𐓤𐓘͘𐓲𐓣	ohką́ci
isolated from	𐓘𐓤𐓘𐓡𐓘𐓰𐓘	ákahahta
it is time	𐓟𐓰𐓸𐓘͘, 𐓨𐓣͘𐓵𐓪𐓰𐓘	éetxą, mįįðóhta
it is time again	𐓟𐓤𐓣𐓰𐓸𐓘͘	ékitxą
itch: scratch an ~	𐓤'𐓶𐓟	kˀúe
item	𐓰𐓘͘𐓮𐓤𐓘	tą́ąska
iterative markers	𐓩𐓘͘, 𐓩𐓘͘𐓬𐓟	ną, nąpe
jack (in a deck of cards)	𐓻𐓘𐓤𐓟	žáhke
jack mule	𐓩𐓘͘𐓰𐓘͘𐓰𐓘͘	nąąhtą́htąą
jail, jailhouse	𐓡𐓘͘𐓩𐓘𐓬𐓘𐓺𐓟𐓲𐓣	hą́ąnahpazéhci
jail: put someone in ~	𐓡𐓘͘𐓩𐓘𐓬𐓘𐓺𐓟 𐓪𐓧𐓘͘	hą́ąnahpazé oolą́
January	𐓡𐓘͘𐓬𐓘𐓮𐓲𐓟, 𐓨𐓣͘𐓪𐓤𐓘͘𐓲𐓟, 𐓨𐓣͘𐓪͘𐓬𐓘 𐓬𐓘͘𐓡𐓘͘𐓧𐓟, 𐓪𐓨𐓘͘𐓣͘𐓤𐓘 𐓡𐓟𐓤𐓘, 𐓷𐓘𐓮𐓘𐓬𐓟 𐓣𐓤𐓣𐓰𐓘𐓧𐓣	hą́ąpascee, mį́įohką́ce, mį́įǫpa hpąhą́le, omą́įhka heéka, wasápe íikitali
jar	𐓪𐓻𐓶	oožú
jaw	𐓵𐓟𐓬𐓘	ðéepa
jealous (e.g., of another's position)	𐓪𐓸𐓣͘	óxįį
jealous (used of a man), man who is jealous	𐓨𐓣𐓷𐓘𐓰𐓘͘	míwatą
jealous: be ~ about(used of a woman), woman who is jealous	𐓩𐓘͘𐓷𐓘͘𐓺𐓣	ną́wązi
jealousy	𐓪𐓸𐓣͘	óxįį
Jell-O	𐓷𐓘𐓮𐓤𐓶𐓟 𐓵𐓣𐓜𐓶𐓜𐓶𐓹𐓟, 𐓷𐓘𐓮𐓤𐓶𐓟 𐓯𐓤𐓘͘𐓯𐓤𐓘͘	waskúe ðibrúbruɣe, waskúe šką́šką́
jerk hair out	𐓵𐓶𐓯𐓰𐓘𐓯𐓰𐓘𐓣	ðuuštáštai
Jesus Christ	𐓷𐓘𐓤𐓪𐓰𐓘 𐓣𐓻𐓣͘𐓤𐓟	wahkóta ižį́ke
job	𐓷𐓘𐓵𐓣𐓰𐓘͘	waðíhtą
john (toilet)	𐓪𐓻𐓟𐓲𐓣	ožéhci
joke: make a ~ of something	𐓣𐓸𐓘𐓟𐓷𐓘𐓵𐓟	ixaéewaðe
joke: play a ~ on	𐓵𐓣𐓡𐓪𐓰𐓘	ðíhota
joyous	𐓷𐓘𐓤'𐓘͘	wakˀą́
judge (verb)	𐓷𐓘́𐓤𐓘𐓺𐓪	wákazo
judgment: use bad ~	𐓣𐓧𐓘𐓩𐓘͘	ílaną
juice: fruit ~	𐓤𐓘͘𐓲𐓟𐓩𐓣	hką́ącenii
July	𐓨𐓣͘𐓪͘𐓬𐓘 𐓬𐓟𐓵𐓪͘𐓬𐓘	mį́įǫpa hpeðǫ́ǫpa
jump (intransitive)	𐓪𐓷𐓣𐓮𐓣, 𐓷𐓣𐓮𐓣	owísi, wísi
jump, as when startled	𐓡𐓪𐓯𐓟𐓲𐓣𐓟	hóšechie
jump over	𐓘𐓷𐓣𐓮𐓣	áwisi
jumping game	𐓷𐓣𐓮𐓣𐓤'𐓪͘	wísikˀǫ
June	𐓲𐓟r𐓪𐓤𐓘 𐓤𐓣𐓯𐓣𐓬𐓣, 𐓲𐓟𐓰𐓪𐓤𐓘 𐓨𐓘͘𐓩𐓘͘𐓹𐓘𐓬𐓟, 𐓨𐓣͘𐓪͘𐓬𐓘 𐓷𐓟𐓯𐓘𐓬𐓟	hceeróoka kišipi, hceetóoka mąąną́ɣape, mį́įǫpa wešáhpe
just	𐓩𐓘, 𐓩𐓘͘𐓯𐓤𐓣	na, ną́ški
just now, just a while ago	𐓲𐓟𐓤𐓘	hcéka
just right, just the right amount	𐓤𐓘𐓩𐓘͘	káaną
Kansas gayfeather (Liatris punctata)	𐓨𐓘͘𐓤𐓘 𐓮𐓘𐓤𐓣	mąhká saakí
Kaw, Kansa (tribe or tribal member)	𐓤𐓘͘𐓺𐓟	hką́ąze
keep (as a souvenir, memento, or treasure)	𐓤𐓣𐓲𐓟𐓵𐓟	kícheðe
keep on (doing something)	𐓯𐓣𐓩𐓘͘, 𐓯𐓰𐓘͘	šíną, štą
keep on (with the action of the verb)	𐓩𐓘͘𐓩𐓘͘	nąną
keep true to someone's word	𐓣𐓟 𐓪𐓬𐓯𐓟	íe opšé
keepsake(s)	𐓷𐓘𐓲𐓟𐓤𐓘	wahcéka
Kemonah: Carl ~ (personal name: White Mountain)	𐓬𐓘𐓸𐓪𐓮𐓤𐓘	paaxóska
kerosene	𐓷𐓟𐓧𐓣	wéli
kettle	𐓲𐓟𐓹𐓟	céɣe
kettle: small	𐓲𐓟𐓹𐓟𐓻𐓣͘	céɣežį
kettle: soup ~	𐓰𐓘𐓩𐓣𐓟 𐓲𐓟𐓹𐓟	htaaníe céɣe
key	𐓷𐓟𐓵𐓶𐓯𐓶𐓬𐓟	wéðušupe
kick (transitive)	𐓩𐓘͘𐓮𐓰𐓘	nąąstá
Kickapoo Indians	𐓤𐓣𐓤𐓘𐓬𐓪	kihkápo
kidney (human or animal)	𐓮𐓣𐓩𐓪͘𐓜𐓟	sinǫ́bre
kid(s)	𐓻𐓣͘𐓤𐓘, 𐓻𐓣͘𐓤𐓘𐓻𐓣͘	žįká, žįkážį
kids: take care of ~	𐓻𐓣͘𐓤𐓪𐓤𐓘𐓯𐓘͘	žįkókašą
kill	𐓲'𐓟𐓵𐓟	cˀéðe
kill oneself	𐓲'𐓟𐓤𐓣𐓵𐓟	cˀéhkiðe
kill others, kill folks	𐓷𐓘𐓲'𐓟𐓵𐓟	wacˀéðe
kind	𐓷𐓘𐓵𐓘𐓤'𐓟𐓵𐓟	waðákˀeðe
kind: be~	𐓣𐓵𐓘𐓤'𐓟𐓵𐓟	íðakˀéðe
kind: be~ to each other	𐓵𐓘𐓤'𐓟𐓤𐓣𐓵𐓟	ðakˀéhkiðe
kind: be~ to one's own or to someone close	𐓵𐓘𐓤'𐓟𐓤𐓣𐓵𐓟	ðakˀékiðe
kind of (somewhat)	𐓟𐓤𐓪͘	ékǫ
kind: what ~	𐓡𐓪͘𐓸𐓲𐓣͘, 𐓰𐓘𐓰𐓘͘	hǫ́ǫxcį, táatą
kindling: fine ~	𐓻𐓘͘𐓲𐓶𐓤'𐓘	žąąhcúkˀa
kindness: show or use ~	𐓣𐓵𐓘𐓤'𐓟𐓵𐓟	íðakˀéðe
king (in a deck of cards)	𐓷𐓘𐓰𐓘͘	wahtą́ą
kinky	𐓤𐓣𐓤𐓣͘𐓩𐓣͘	hkihkįnį
