a, an	wį, wįxce
leprechaun	míalǫška
lesbian	míixóke
less than full amount	ohépe
lessen	čóopa ekǫ́ káaɣe
let, let's (see injunctive markers)	
let go	ðée káaɣe
let it alone, let it be, let it sit	kaašǫ́e che
let someone be	šǫ́įkšeðe
let someone do something	kšíðe
let slip (as a comment), let slip away	ðikšį́ce
letter	óðaake waléze, wáleze
lettuce	hpéžehtoho
level (adjective)	stáko
liar	íxopeštą́
Liatris punctata (grayfeather, blazing star)	mąhká saakí
lice	hée
lick (verb)	ðaaštápe
lick (n, v)	íxope
lie abed	óžą
lie down	ážą, óžą
lie down against	áðiikxą
lie down, as to sleep or rest	áakxą
lie down in	óžą
lie down to sleep	žą́ą
lie to	mąɣíðe
lie up against	áakxą
life	oníhkašie
life: lead or live a ~	ónihkašika
life: live this~	mą́žą ðé ómąðį
lift (verb)	ðuhcépe, ðumáða, ðuumą́ši, paamą́ši
lift off	ðuxpáwi
lift someone or something	ðiihą́
light (noun)	átahką
light in color	ɣį
light weight	háha [LFÐ]
lighten	ðuuhepe
lighter (noun)	ðuuhepéece
lightning	lǫ́ǫ waléze, níǫpapa
lightning: forked ~	ðiléleze
lightning: grandmother ~	iihkó lǫ́ǫ
lightning strike(s)	kaalį́
likable	ókˀą ðaalį
like (verb)	kiðálį, kíhǫǫ, kízo
like: act ~	íkǫskahkíðe, ókˀą
like (similar to)	kǫzékǫ
like each other (resembling each other)	kǫzéhkihkǫ
like that or this	ékǫ
limb of a tree	káxa
limb of a tree: broken ~	žą́ąkaaxǫ́
limbs of a tree or bush: small ~	žą́ąžį, žą́ąxežį
line (fishing line)	hóize
lined (having lines)	léze
lion	michó
lip: broken or split ~	íhaa žáhta
liquid	níi
liquid medicine	mąhká oðáahtą eeną́
liquor	hpéecenii
liquor store	hpéeceniihci
listen, listen to	ánąkˀǫ
louse (noun).	hée
love (verb).	ðáęąceíki, kiðálį, kíhǫǫ
love one's own.	kíoxta
loved.	óxta
lower by pulling (e.g., a window shade).	ðuuhúuce
lowland.	oźo
lukewarm	štáke
lulu.	ðaazó, waðáazo
lumbago	wahúni
lumber.	žą́a
lunch.	mįįðóhta wanǫ́bre, oðaašce
lung.	ðǫ́ɣu
lying down (position). (see continuative aspect markets; positional articles)	
macaw	wažį́kaíe
machine or machinery.	wéhkikˀǫ
mad (angry).	lą́, wažį́ hpíiži
mad (angry): be ~.	ohkížį
mad (angry): become or get ~.	óžį hpíiži
mad (angry): feel at someone	hkížį, ohkížį
magazine.	óðaake wáléze
maiden.	kažą́si
mail (verb).	ðéeðe, ðée káaɣe
mail to another person.	ðeekšíðe
make.	káaɣe
make (someone do something or be a certain way).	káaɣe
make (someone do something or be a certain way).	káaɣe, kaaži
make (up) for oneself (e.g., one's bed).	hkihkáeɣe
make a crowd.	wéhuu, wéhuukǫ́į
make a fist.	ðiiskíke, šáakeðíiskike
make a hole.	okákðǫ
make a home.	hcíle
make a joke of something	íixaéewaðe
make a phone call	mą́zeie híðe
make a recording with an audio device	íe ðuuzé
make a talk or speech	íe
make an effort	waašką́, ikˀuce
make bald or bare	ðuuštá, ðuuštáštai
make believe (verb).	kǫzé [JOD, LFD]
make-believe.	ék̨oska ha
make camp.	ahcí, hcí
make change, make a change.	íhkihkawį káaɣe
make curly	ðuuhkíhkį
make dear.	óxtakiðe
make die.	cˀéðe
make equal to.	íkǫskahkíðe
make faces.	įcé ðuuhpíiži
make folks want to, make one want to	kóðawaðe
make for someone	íkikaaɣe
make for someone (e.g., food or a bed)	kšíɣe
make forked.	pážahta
make friends with each other.	ðótahkiðe
make from.	wékaaɣe
make fun of someone	wahóta
make go/	ðéeðe
make go where you are.	šoðée káaɣe
make good.	ðuðáalį
make it (in a card game).	káaɣe
make it anyway.	óðąži
make it slow.	lúžihkiðe
make laws (as in Congress)	wahkí̌laace káaɣe
make lie down or be in bed, have another in bed.	ðížąą
make lighter.	ðuuhépe
make no more (of).	kaakóną káaɣe
make one look or appear a certain ay.	tǫ́pewaðe
make one's best effort.	íkˀuce
make one's mark upon something	páaleze
make oneself (to be or do).	hkíðe
make oneself comfortable	hkikˀáze
make oneself full.	wéenącehkiðe
make oneself important.	óxtahkiðe
make oneself ready, make yourself ready	háhahkie
make oneself right and respectful	óxtahkiðe
make oneself straight.	óðohtąhkiðe
make out of.	íkaaɣe
make over.	kíkaaɣe
make plain or distinct	wáðaaska
make round.	ðuutáahpa
make sick.	húheka káaɣe
make slower.	lúži káaɣe
make someone do something	ákaaži, kaaži
make someone hurry	wáhice
make someone nervous	páalǫðį
make someone put on an article of clothing.	įkšíðe
make someone successful	ðáalį kšíðe
make special.	óxtaðe, óxtakiðe
make something bad.	ðuhpíiži
make something go to another person.	ðeekšíðe
make things plain (e.g., words or lines on a paper, borders on land).	wáðuuska
make trouble ~ for someone	ówǫ káaɣe
make up (apply makeup).	įcé káaɣe
make up one's mind.	waðílą hkihkáaɣe, waðilą káaɣe
make using.	wékaaɣe
makeup.	kikˀǫ́
makeup: apply ~.	įcé káaɣe
male.	tooká
male child.	šį́tožį
males: be without ~ (said of a family with all girls).	tooká ðįké
male singers at a dance.	xóhka
malicious false gossip.	íe okaaɣéįke
malign.	ðaažóži
mallard duck.	hpáhiihto
malodorous.	ɣoį́
man.	níhka, níhkašie
man: eldery ~.	cˀáižį
manacle.	paaxcé
manage.	ðuhcépe
manage (e.g., an event).	oðóðe
mandible.	ðéepa
mane.	hpaxį́į
maneuvers: hold military ~.	áhkita okˀą
mangy.	hcúxe
manner: in this ~.	kaakǫ́
manners: having no ~.	okˀą hpíiži
mantle.	ákahamį, mǫkápo
many.	huuhtą́ka, huuwáli
many: be ~.	ochí, óšechiðe
many people.	huukǫ́ða
many things.	táatą ochí
map.	mąžą́waleze
March.	hą́ąpa ohkísce, mį́į okˀą́ike, mį́įǫpa weðáabrį
marines.	áhkita omą́ðį
mark: make one's ~ upon something	páaleze
maroon (color).	pazó ekǫ́
marriage (term used by friend or family of groom).	mį́įląke
married: be or get ~ (said of a man).	mį́įląke
married: be or get ~ (said of a woman).	wáðuɣe, wéðuɣe
married woman.	wakˀó wéðuɣe
marrow.	wažúpe
marry (transitive).	žóle
marry: make one's own relative ~, marry of a female relative (e.g., one's daughter).	wáðuɣekíðe
marry (a man).	áðuɣe
marry (a woman).	lą́ke
marry a woman.	mį́įląke
marry each other.	hkilą́ke
marvelous.	óxta
Mary (Mother of Jezus).	wahkǫ́ta ižį́ke iihǫ́
mash down.	ápisą
Mashunkashey: Russel Koshehe ~ (personal name: Buffalo Chief).	ðóxe kahíke
match (for lighting a fire)	ðuuhpéece
mate (transitive).	ðúɣe
material.	haaská
mattress.	omíže
mature.	nǫ́ǫ
may, might (see potential marker).	
May.	mį́įǫpa wesáhtą
maybe.	nąka
me.	wíe
me too.	wiškítą
meadowlark.	mǫ́ǫke zí htą́ą
meal.	ónǫbre
meal: evening ~.	hpáze wanǫ́bre
meal: noon or evening ~.	wanǫ́bre
meal: noon or midday ~.	mįįðóhta wanǫ́bre
meal: take care of a ~ oneself when asked to do so.	óohkiką
mean (hateful).	iiséwaðe
mean (have a certain meaning).	ékǫ
mean (intend).	wakšé
meaningless.	ókaaɣeįke
means: by ~ of, a means to.	í-
means to see each other again.	wéehkile
meantime.	ihtǫ́į ðéha
meanwhile.	katxą́
measure (verb).	ðaawá
measuring stick.	žą́ą wéðaawa
meat.	htáa
meat: burred or charred ~.	táasaaki
meat: fat ~.	wašį́
meat candy (pounded meat).	htáa štǫ́ka, htáapše
meat gravy (popular Osage dish made of boiled meat).	táalįko
meat pie.	htóolą (old meaning), htóožu, síekǫ
meatball.	htáa štǫ́ka
medal, medallion.	mą́zeska wanǫ́pˀį, wanǫ́pˀį
medical care: administer ~ to someone	šcéðe
medicine.	mąhká
medicine: liquid ~ (medicine that comes in liquid form only).	mąhká oðáahtą eeną́
medicine: one who has ~.	mąhká aðį́
medicine bundle.	mąžáhku, waxópe
meditate on.	áwaðilą
meet (transitive)	áhkihpa [JOD, LFD], áhkiǫðe, áhkoopše
meet and talk things over.	kiistó
meet each over, meet someone	íihkihkiðe
meeting.	hkilíiski
meeting: hold a Native American Church or peyote ~.	hkihkǫ́ze
meeting: peyote or Native American Church ~.	hkihkǫ́ze, mąhkáðaaché
meeting held by a group of people.	hkiistó
meeting of a group of people to converse.	ohkíe
mellow (adjective).	cúuce, táaske
melt.	táaską
member: be a ~(e.g., of a club).	oðízą
memento: keep as a ~.	kícheðe
men.	níhka, níhkašie
men: young ~.	nǫ́hǫ́žį
menstruate.	waaláke
"mentally retarded," mentally unstable.	cˀéka
merciful: be ~ to.	ðakˀéðe
merely.	ną́ški
Merry Christmas.	wahkǫ́ta ižį́ke hą́ąpa iðáalį
merry-go-round.	kǫ́kǫe
mess (trashy mixture).	táatą ochí
message sent by wire.	mą́zekˀąsaaki
messed up.	ɣǫ́ǫce
metal of any kind.	mą́ze
meteor.	mihkákˀe oxpáðe
Mexican or other native Spanish-speaking person.	íšpaðǫ
midday.	mįįðóhta
midday dinner or meal.	mįįðóhta wanǫ́bre
middle.	ohką́ska
middle: be in the ~.	iðǫ́eðįhé
middle: down the ~.	opxá
middle: in the ~.	ohką́ska
midnight.	hą́ą ohkáska, hą́ą ohtą́ka
might.	(see potential marker)
might (noun).	waašką́
migrate.	kalǫ́ðe, wahúį
mild (a person's ways or the weather).	štáke
military maneuvers: hold ~.	áhkita okˀą
military service: be in ~.	taaké omą́ðį
milk.	paazénii paazénii ðiiscúe
milk: sweet ~.	paazénii skúðe
mill.	hówe
million.	waðáawa htą́ke
mind.	waðílą, wažį́
mind: have a good ~.	waðíląhtąą
mind: have in ~.	wakšé
mind: have on one's ~.	íðilą
mind: have something on one's ~.	táatą íðilą
mind: I don't have the ~.	ą́z̨ǫ ðįké
mind: in one's right ~.	ną́ąɣeska
mind: make up one's ~.	waðílą hkihkáaɣe, waðílą káaɣe
mine (PRON).	wíhta
minister of a religious group.	oźą́ke olį́į, wahkǫ́taki, wakǫ́ze
mink.	hį́zįį
mirror.	niióhkiacˀį
misbehave.	taeðáalįži
mischievous.	iiscéwai
mischievous: be ~.	ðiihíce, taeðáalįži
mischievous (said of a person who tends to laugh and make fun of people).	óškika
misconstrue.	íe ðaaéži
mislead.	oxráðe káaɣe
misrepresent oneself.	mąɣíðe
miss (a target).	kakšį́ce
miss (be lonesome for, long for).	íkišike
miss (not get right).	ðikšį́ce
miss each other.	íhkišike
miss out on (e.g., a dinner by arriving late).	kakšį́ce
miss the mark.	oolą́ąži
mission, go on the mission.	wamą́ðį
Mississippi River.	níi htą́ka
mist.	íhkišoce, níišoce, niižú xóce, niižú xohtą
mistake: make a ~.	hkilúhpiiži
mistake: make a (disgraceful) ~ that brings attention to oneself.	ílianą
mistake (noun) (not a particularly serious mistake).	wanáhkai
mistaken: be ~.	mąðíhkiðe
misting rain.	íhkišoce
mistreat.	ðiižóži
mistreat (an animal or person).	ðiihíce
mistreat one another.	hkilíižoži
mistreat someone	ðišǫ́ži
mistrust oneself.	hkíxiða
mixed blood: person of ~.	įįštáxįžį́
mixed in, mixed among.	íwihe
mixture: thrashy ~ (of items that are out of order).	táatą ochí
moccasins.	hǫǫpé
moist.	mąątóohka, toohká
moment: at this ~.	ðekǫ́ǫce
moment: the ~ for something	éetxą
Monday.	hą́ąpa hpahą́le
money.	mą́zeska
money: paper ~.	htaną́kˀa mą́zeska
money bag.	mą́zeskaoožú
monkey.	héeoce
month, month's time.	mį́įǫpa
month before last.	mį́įǫpa kootáha
moo (verb).	hóohtą
moon (noun).	mį́įǫpa
moon: crescent ~	mį́įǫpa aðikeže
moon: full ~	mį́įǫpa táahpa
moon: half ~	mį́įǫpa aðikeže
more	oðóhake, ši
morning	mį́įhuðe
morning: early ~	hą́ąekǫ́ži, kaasį́exci, kaasį́excicžį
morning: late ~	mįįðóhta žišǫ́
morning star	mihkákˀe hą́ąpa tą ðikše, mihkákˀe hą́ąpaska tą, mihkákˀehtąą
morose	ókˀą hpíiži
mortar (for grinding)	hówe
mosquito	brápxąąke, lápxąąke
most recent: the ~	ce
mother: 'my mother'	iiną́
mother: 'your mother'	ðiihǫ́
mother: 'his/her mother, the/a mother'	iihǫ́
mother of Jesus	wahkǫ́ta ižį́ke iihǫ́
mother-in-law: 'my mother-in-law'(for some speakers, specifically 'my wife's mother')	wakˀǫ́žį (wíhta)
mother-in-law: 'your mother-in-law'(for some speakers, specifically 'your wife's mother')	ðíwakˀožį, wakˀǫ́žį ðíhta
mother-in-law: 'his/her mother-in-law'	íwakˀóžį
mother-in-law: 'my husband's mother'	iihkó
Mother's Day	íihǫhą́ąpa
mound	hpá
mountain	paaɣó, paaxó
mounted on a horse	hkáwaalįį
mourn (transitive)	kíkxą
mourning dance	wašápe aðį́
mouse	įchóka
mouth	íhaa
mouth: big ~	íhcuke
move (intransitive)	šką́
move (transitive)	ðicíze, ðuušką́
move: unable to ~ (as a motor vehicle)	šką́aži
move all around	ákiɣe
move fast	htą́ąðį
move to another location	wahúį
movement: make a back and forth ~ (as when riding a teeter-totter)	sísiąðe
movie	ówatoį
movies	hkéetaxewatǫ́e
moving: get ~	mąðį́
much: be ~	óšechiðe
much: this ~	káaną
mucus: filled with ~	xtoe
mucus from the nose	hpahlíxtoe, hpalį́
mud	mąąstósto, mą́įhka
muddy	mąąstósto
mule	nąąhtáhtą́htąą
murder	cˀéðe
muscle	áahkǫ
muscular	saakí
muse about	waðílą
mushroom	mihkákˀe
music	paakíce
music: play ~ on an instrument	paakíce
muskrat	htachí, įchóhtąą
must: it ~ be that	ska
mutter in complaint	lǫ́ǫ
my	wíhta
my goodness!	ą́žǫ ðįké
my home (similar the chez moi in French)	ecí mįkšé
mysterious power	wahkǫ́ta
naked	hį́ðohkižį
name	žáže
name: assign, give, or use a ~	ðaacé
name: call on someone's ~	ðaacé
name: call someone a bad ~	lǫ́ǫ
name: say the ~ of something or someone	ðaacé
name one's own	láace
name used to make fun of someone	žáže wahóta
names: call ~	lǫ́ǫlǫǫ
names: call each other ~	hkílǫ(lǫ)
names: call folks ~	walǫ́ǫ
napkin	íhaa ípukxa, šáake ípukxa
napkin: paper ~	htaną́kˀa ípukxa
narrate	oðáake
narrative	óðaake
narrow	wahóšce
nation	níhkašika ochí
Native American Church (the religion given this name)	hkihkǫ́ze
Native American Church meeting	mąhkáðaaché
Native American Church meeting: hold or put on a ~	hkihkǫ́ze
Navajo (tribe or tribal member)	haxį́ležekáaɣe
navy	áhkita omą́ðį
near, nearby	áška
near the time of that	ée htáha
nearly	ðóha, hóni
neat	stáko
neaten	ðuustáko
neck	htáhu
neck: wear around the ~	nǫpˀį́
neckerchief	haaléžowaake, haaská wanǫ́pˀį
necklace	wanǫ́pˀį
necklace of iron or other metal	mą́ze wanǫ́pˀį
needle	súhka húhka
negative markers [NEG]	aží, ðįįké, ðįké, maží
negatively be affected by too much of something: be ~	íibrą
Neosho (in Oklahoma)	niióšo
nephew (specifically son of brother of female): 'my brother's son' (speaker is female)	wihcóška, wižį́ke
nephew (specifically son of brother of female): 'your brother's son' (addressee is female)	ðihcóška, ðižį́ke
nephew (specifically son of brother of female): 'her brother's son'	ihcóška
nephew (specifically son of brother of male or son of sister of female [same terms for 'son'])	'my brother's son' (speaker is male) or 'my sister's son' (speaker is female)	wižį́ke
nephew (specifically son of brother of male or son of sister of female [same terms for 'son']): 'your brother's son' (addressee is male)	ðižį́ke
nephew (specifically son of brother of male or son of sister of female [same terms for 'son']): 'his brother's son,' 'her sister's son'	ižį́ke
nephew (specifically, son of sister of male or son of brother of wife): 'my sister's son, my wife's brother's son' (speaker is male)	wihcóška
nephew (specifically, son of sister of male or son of brother of wife): 'your sister's son, your wife's brother's son' (addressee is male)	ðihcóška
nephew (specifically, son of sister of male or son of brother of wife): 'his sister's son, his wife's brother's son'	ihcóška
nerve: I don't have the ~ !	ą́žǫ ðįké
nervous: make someone ~	páalǫðį
nest	hcí
never (no Osage phrase exactly matches the range of use of English 'never')	aži ną
never on time	ókxąži
never will (for future time only: no Osage phrase exactly matches the range of use of English 'never')	aži hta
nevertheless	óðąži
new, newly	hcéka
new things	wahcéka
new year	omą́įhka hcéka
news	óðaake
news: shocking or startling ~	hóšechie
newspaper	htaną́kˀa waléze, óðaake waléze
newsprint	htaną́kˀa waléze
next	áhkiha, ímąche, okxą́
next: and ~	kaðǫ́
next: the one after ~	kootáha
next-to-last	kootáha
nice	ðáalį
nice-looking	stáko
nickel (five cents)	waðáawa sáhtą
nickname (noun)	žáže wahóta
niece (specifically, daughter of brother of female): 'my brother's daughter' (speaker is female)	wihcióžąke
niece (specifically, daughter of brother of female): 'your brother's daughter' (addressee is female)	ðihcióžąke
niece (specifically, daughter of brother of female): 'her brother's daughter'	ihcóžąke
niece (specifically, daughter of sister of male): 'my sister's daughter' (speaker is male)	wihcížo
niece (specifically, daughter of sister of male): 'your sister's daughter' (addressee is male)	ðihcížo
niece (specifically, daughter of sister of male): 'his sister's daughter'	ihcížo
niece (specifically, daughter of brother of male or daughter of sister of female [same term fro 'daughter']): 'my brother's daughter' (speaker is male) or 'my sister's daughter' (speaker is female)	wižǫ́ke
niece (specifically, daughter of brother of male or daughter of sister of female [same term fro 'daughter']): 'your brother's daughter' (addressee is male) or 'your sister's daughter' (addressee is female)	ðižǫ́ke
niece (specifically, daughter of brother of male or daughter of sister of female [same term fro 'daughter']): 'his brother's daughter' or 'her sister's daughter'	ižǫ́ke
night	hą́ą, hpáze
night: at ~	hą́ą
night: darkness or dark of ~	hą́ąnahpazé
night: last ~	hą́ące
night: late ~	hąą káaši
night: stay all ~	žą́ą
night before last	hą́ące kootáha ce
Night Walker (personal name)	hą́ąmąðį
night woman	hą́ą wakˀó
nightmare	ohpáza
nighttime	hą́ą
nine, ninth	lébrą hce wį́įke
nineteen, nineteenth	lébrą álįį hce wį́įke
ninety, ninetieth	lébrą lébrą hce wį́įke
no (interjection)	hą́ąhkaži
no ears (a person who won't listen)	nąąɣúce ðįké
no good	óškika
no more: make ~ (of)	kaakǫ́ną káaɣe
no more: there is ~ (interjection)	kaaštą́
no value: something of ~	mą́ąhpiiži
nobody	pée, hǫ́ǫe wį, péeški
nocturnal	hą́ą
noise	óochiže
noise: not make a ~	oní ðiké
noise: ticking, tapping, or clicking ~ against metal (as made by a typewriter)	mą́ze htáhtaze
noisy: be ~	óochiže
noncontinuative marker (3rd person)	api, i
none: be ~	ðįké
nonexistent: be ~	ðįké
nonsense [LFD]	ókaaɣeįke
noodles	wacúe kˀą́saaki
noon	mįįðóhta
noon meal	mįįðóhta wanǫ́bre
normal eyesight: have ~	wawéeðe
normally [ITERATIVE]	ną
normally	nąpe
north	níwahcekši htáha
north[LFD]	pásąci
north wind	nį́ ké hta huðe
nose	hpá
nose: runny	hpahlíxtoe, hpalį
Nose Cutter (personal name for a second son)	hpápaxǫ
not anything else, not anything but	na
not be present	ðįké
not be thus	ékǫži
not careful	íinǫǫhpaži
not difficult	wacˀéka
not easy to do	wahcéxi
not enough	eeną́ži
not exist	ðj̨ké
not fitting in the available space	wíohkaðį
not get something right	ðikšį́ce
not have anything, lack	ðįké
not have anything to do with s.o or s.t	šǫ́įkšeðe
not in one's right mind	waðílą eekǫ́ iké
not know how (to)	kǫ́žįka
not lazy	wahtóke
not make noise	oní ðįké
not quite dark yet	hpáze
not quite get the idea	hahkíe
not quite right: do (s.t)	oolą́ąži
not right	eekǫ́ ðįké, ékǫži
not satisfied anywhere	eˀélǫðį
not trust oneself	hkíxiða
not understand	kíopxaži, pxáðaži
not up to par: be	oolą́ąži
not where or how it is supposed to be	ekǫ́įke
not wild	wacˀéka
not worried	škaškáða
notch	pážahta
notched	žáhta
note (document of borrowed money)	mą́zeska ootá waléze
nothing: it's	ókaaɣeįke
nothing: say	íeži
nothing like it	táatą ékǫ ðįké
nothing more	kaašǫ́įke
nothing wrong	ókašéįke, škaškáða
notwithstanding	óðąži
November	mį́įǫpa álįį wį́xci, súhkahtą mį́įǫpa
now (adverb)	ðekǫ́ǫce
now (interjection)	ną
now: from - on	ðetxą́ha, ihtǫ́į hta
nude	hį́ðohkižį
nudge	paaspą́
number(s)	waðáawa
nun	šǫmį́hka wakˀó
nurse (N,V)	húheka okášą
oak	hpisúhu
oatmeal	wéšj̨
Oberly: Frances-Holding (personal name: Hawk Woman)	letǫ́wį
Oberly: Myrtle-Jones (personal name)	wažáxį
obey	íe opšé, opšé
obey (e.g., the law)	oðóohpa
obey one's own	okípše
object: sacred	waxópe
object to	iiną́hiži
obliterate by rubbing or wiping	púkxa
observe	tǫ́pe
observe people or events	watǫ́pe
obtain	ošéhtą
occupation	oðíhtą
occupy a seat	olį́į
ocean	níi htą́ka, níimąse
o'clock	mį́įoðaake
October	htáa kiðíɣepi, mį́įǫpa lébrą
odd	éeži
odd-looking	éžixei
odor: body or soured	žą́xta
odor: emanate an	brą́
odor: have a (good or bad)-from heating	táabrą
odor: have a stinking	žą́ąže
odor: sour	zą́zi
off	ekǫ́įke
off: get (e.g., a horse)	ósi, wísi
off: switch	ðuutáaži
off: take - a garment	ðiištówe
off: take-a person's clothes	ðuušáwį
off: take-by pulling	ðiištówe
off. throw (suddenly severing or moving s.t or s.o from s.t)	okáxpa
off: turn	ðiista, ðuutáaži
off (s.t round or sitting)	įkšítxą
off in the head	pxáðaži
off target	ekǫ́įke
off the record	ákahahta
off the subject	ée htáhaži
offend	ílaną
offensive smell: have an	ɣoį́
offer: make an - manner	íðilą ðįké
office	waðíhtą
officer	áhkita, áhkita totą́hąka
officer or other white person of rank	mą́ąhį htą́ą
"off-tribe" (tribe other than Osage)	ohkíhce
oil	wéil
oil well	átahką wéli níini
oily	ðóðo
ointment	stáðe
old	kóoci
old: be ~	nǫ́ǫ
old: get ~	ónǫ ahí
old: how ~ ?	omą́įhka háaną
old age	nǫ́ǫ, ónǫ
old and stacked or piled	kóoche
old folks, the old ones	haašíhta, kóoci, nǫ́ǫ, nǫ́ǫwaapi
oldest	htą́ą
old-fashioned	kóoci
old-time	kóoci
Omaha (tribe or tribal member)	ámaxa, omą́hą
on	á-, ki
on: put ~	álą
on: put ~ (e.g., pants, shoes)	opáahą, otxą́
on: put ~ one's own pants or shoes	okítxą
on: put ~ oneself (e.g., a shirt or a dress)	óhkioolą́
on: turn ~	káaɣe
on (something lying or spread out)	kši
on and on	nąną
on one's own	éwažį
on time: never ~	ókxąži
on top	ákaha
once upon a time	kóoci
one	wį, wįxce
one another (see reciprocal prefix)	
one of several, one to be chosen among many	ą́mą
one of these	ðéeka wį
one's own (see suus prefix)	
ongoing (recurring one after another)	ótxątxą
onion	mą́ąžąxe
onion: green ~	mąąžą́xe htóho
onlookers	wahtǫ́pe
only	na, ną́ški
only (one): be the ~	eená
only I	wíną
only this much	káaną
only to a limited degree	to
ooze	žé
open (adjective)	íðoce
open (intransitive) (e.g., a flower)	opáaɣa
open (transitive) (e.g., a door or a box)	ðiišupe, ðuuáze
open (transitive) (e.g., one's eyes or arms)	ákabra
open out	paaɣáce
operate on (perform surgery on)	hpáce
operation: place in ~	ðuušką́
opinion: hold an ~ of something	ažį́
or	ąži, ímąðe
orange (color)	zí žuuce ékǫ zí žuuce ékǫ
orange (fruit)	hką́ące zi
orbit	óžąke
order someone not to (do something)	ížoši
ordure	įlé
ornery	óškika
orphan (noun)	wahǫ́įke
Osage (tribe, tribal member, or language)	wažáže
Osage language	wažážeíe
Osage orange	mį́ceštá hu
other	ą́mą, éeži, ímą, ímąkše
other: the ~ (one of two)	ą́mą
other (different)	éeži
other (one)	ímąche
other side: (location)of the ~	áðahtaha
other side: on or to the ~	mąchéhta, mąsį́ha
other side: on the ~	ákahahta, ámąhta, ámąhtaha
other side: on the ~ of something	kootá
other side: turn oneself to the ~	ámąhta hkilíikoįɣe, hkilíisą
other thing: any ~	t́aatą éžiški
other things	táatą éžiški
other way	émąhtái, émąhtažíha
other way: turn oneself the ~	ámąhta hkilíikoįɣe, hkilíisą
otherwise	éeži, éški
otherwise: be ~	ékǫži
Oto (tribe or tribal member)	wažóla
other hide or skin	htónąke
ought to (see discussion under	ðáalį)
our(s)	ąkóhta, ąkóhtapi
ourselves (see relative prefix)	
out: be ~ (e.g., school for summer recess)	panáa
out: be ~ of	níðe
out: get ~ of (e.g., a vehichle)	ósi, wísi
out: give ~	wahkílai
out: put or set ~ (multiple items)	ážu
out: take ~ (unload)	oðúuxpaðe
out: toss ~	ǫ́ǫða
out of breath	íkaske
out of line	ekǫ́įke
outdoors, out-of-doors	ášihta
outer ear	nąąhtą́
outhouse	ožéhei
outset: at the ~	hpahą́le
outside	ášihta
outside of a certain area	ákahahta
outside of the main events or activity, outside of someone's social circle	ákahahta
outskirts: on the ~ of	ákahahta
outstanding: be	álįįha
oven	mą́ze oohǫ́
over: make over or do	kikáaɣe
over: put	ákaaspe
over: turn	ðiisáða, ipasq
over: turn (one's own)	liisą́ða
over again. (see inceptive prefix)	
over and above: be	álįįha
over and over.	šíną
over and over. turn - (transitive).	ðusą́sąwį
over here.	ðeeká ci
over there.	ée htáha, kaaðó, kootáįke
over there. farther -	kootá
overall.	bróka
overalls.	oðókiną́ąžį ákaha
overbearing.	ópaašike, tóekǫ́ži
overburdened. be -	íibrąxcį
overdue.	wascúuce
overeat.	tóoceha
overeater.	tóoceha
overseas.	níimąse
oversee.	oðóðe
oversee an event.	oðówaðe, óohkihą
overweight.	lą́ąðe
overweight: be -	wašį́
overwhelming.	hóšechie
owed. something -	weúuze
owl.	wahpóka
own (my own, your own, his/her own, our own, their own, one's own).	(see suus prefix)
own (possess).	aðį́
owned by, be -	íhta
Pahsetopa (a family name of the Osages).	hpásetoopa
pail.	céɣe
pain. experience -	níe
pain. suffering -	waxpáðį
pain in the heart: have a -	ðą́ąceníe
paint (N,V).	stáðe
paint the deceased, apply face paint.	kikˀǫ́
pair, couple, two of them.	nahkǫį́
paisley.	hpasúkoša
pal.	hcošpá
pallet.	omíže
palm (of the hand).	nǫǫpé
pancake.	wacúe bréhka
pane of glass.	okáhąpa
pant (verb).	heháha
pantry.	wánǫbréoožú
pants.	oðíkinąąžį, oðókinąąžį, wéhkiliį
papaw.	hį́įce hu
paper.	htaną́kˀa
paper: toilet -	íkahci
paper containing text.	waléze
paper money.	htaną́kˀa, htaną́kˀa mą́zeska
paper napkin.	htaną́kˀa ípukxa
paper towel.	htaną́kˀa ípukxa
parallel (to).	páskuha
parasol.	(see discussion under oðíni)
parents: your -	ðiihǫ́ ðitáce
parrot.	wažįkaíe
part: be a - of	oðízą
part (of the whole).	hépe
part in the hair.	hpióka
pass (transitive).	húkaaɣe
pass air (gas).	ðiipíɣą
pass around.	ákiɣe, ápše
pass away (e.g., the drum at ilǫ́ǫška dances)	kaaðée
pass away (euphemism for 'die').	xíða
pass away (varnish)	ðįké
pass back and forth.	ihkílašą
pass by	ákiɣe, ípše
pass by hand.	kˀú huu
pass gas.	ðiipíɣą
pass something too someone (e.g. at the table).	kˀú
pass the drum.	céɣenii ðée káaɣe
pass to (by hand or other means).	húðe
past (in time).	álįįha
past. go -	ípše
past. in the -	haašíhta
past the next: the one -	kootáha
path, pathway.	óžąke
path: along a -	ha
path: along a - to a hearer	šeeðǫ́ha
path: on the - to a certain point.	htáha
pathway: by what -	howaįkíha
patter (verb).	xée
pause.	panáa
Pawhuska.	hpahį́įska
Pawhuska district, Pawhuska Osages.	waxákaoliį́į
Pawnee (Indians).	hpaðímaha, hpáðį
pawpaw.	htóžąke [archaic meaning], htóžąke eekǫ́
pay (a debt).	kašúpe
pay attention to.	óðąąceši
pay back.	kíšupe
pay for (a purchase).	kašúpe
pay someone, pay for someone	kíšupe
pay attention: act of -	nąąɣúce
payment.	wahkílai
payment: cash -	wahkílae wakášupe
peaceful.	škaškáða
