Note: This is the same as the other Osage dictionary on file, but with indications of tone, vowel-length and aspiration/preaspiration.

a, an	𐓷𐓣͘, 𐓷𐓣͘𐓸𐓲𐓟	wį, wįxce
invite one's relative(s)	𐓤𐓣́𐓭𐓘͘	kíhpą
invite others to feast	𐓤𐓣́𐓡𐓸𐓪	kíhxo
invite someone (not a relatives)	𐓤𐓣́𐓬𐓘͘	kípą
inward	𐓨𐓘͘𐓴𐓟́𐓱𐓘𐓡𐓘	mąchéhtaha
Iowa or Ioway Indians	𐓬𐓘́𐓸𐓪𐓲𐓟	páxoce
irascible	𐓪́𐓤'𐓘͘ 𐓭𐓣̋𐓻𐓣, 𐓷𐓘𐓵𐓣́𐓧𐓘͘ 𐓘́š𐓤𐓘	ókˀą hpíiži, waðílą áška
iron (verb)	𐓵𐓶̄š𐓰𐓘́𐓡𐓘, 𐓬𐓶š𐓰𐓘́𐓡𐓘, 𐓷𐓘𐓬𐓶́š𐓰𐓘𐓡𐓘	ðuuštáha, puštáha, wapúštaha
iron (verb), iron something	𐓷𐓘𐓵𐓶̋š𐓰𐓘𐓡𐓘	waðúuštaha
iron (metal)	𐓨𐓘́͘𐓺𐓟	mą́ze
Iron Hawk (personal name)	𐓧𐓟𐓰𐓘́͘𐓨𐓘͘𐓺𐓟	letą́mąze
Iron Necklace (personal name)	𐓨𐓘́͘𐓺𐓟 𐓷𐓘𐓩𐓪́͘𐓬'𐓣͘	mą́ze wanǫ́pˀį
irrelevant	𐓟̋ 𐓱𐓘́𐓡𐓘𐓻𐓣	ée htáhaži
irritable	𐓷𐓘𐓵𐓣́𐓧𐓘͘ 𐓘́š𐓤𐓘	waðílą áška
irritated: be ~ by	𐓘̋𐓧𐓘𐓤𐓟	áalake
island	𐓩𐓣𐓪͘𐓱𐓘 𐓻𐓣͘𐓤𐓘	niǫhta žįka
isn't it so?	𐓡𐓣́͘	hį́
isolate	𐓪𐓥𐓘́͘𐓲𐓣 𐓤𐓘̋𐓹𐓟	ohką́ci káaɣe
isolated	𐓪𐓥𐓘́͘𐓲𐓣	ohką́ci
isolated from	𐓘́𐓤𐓘𐓡𐓘𐓱𐓘	ákahahta
it is time	𐓟̋𐓰𐓸𐓘͘, 𐓨𐓣̄͘𐓵𐓪́𐓱𐓘	éetxą, mįįðóhta
it is time again	𐓟́𐓤𐓣𐓰𐓸𐓘͘	ékitxą
itch: scratch an ~	𐓤'𐓶́𐓟	kˀúe
item	𐓰𐓘̋͘𐓮𐓤𐓘	tą́ąska
iterative markers	𐓩𐓘͘, 𐓩𐓘͘𐓬𐓟	ną, nąpe
jack (in a deck of cards)	𐓻𐓘́𐓥𐓟	žáhke
jack mule	𐓩𐓘̄͘𐓱𐓘́͘𐓱𐓘̄͘	nąąhtą́htąą
jail, jailhouse	𐓡𐓘́͘𐓘͘𐓩𐓘𐓭𐓘𐓺𐓟́𐓳𐓣	hą́ąnahpazéhci
jail: put someone in ~	𐓡𐓘́͘𐓘͘𐓩𐓘𐓭𐓘𐓺𐓟́ 𐓪̄𐓧𐓘́͘	hą́ąnahpazé oolą́
January	𐓡𐓘́͘𐓘͘𐓬𐓘𐓮𐓲𐓟̄, 𐓨𐓣̋͘𐓪𐓥𐓘́͘𐓲𐓟, 𐓨𐓣̋͘𐓪͘𐓬𐓘 𐓭𐓘͘𐓡𐓘́͘𐓧𐓟, 𐓪𐓨𐓘́͘𐓣͘𐓥𐓘 𐓡𐓟𐓟́𐓤𐓘, 𐓷𐓘𐓮𐓘́𐓬𐓟 𐓣̋𐓤𐓣𐓰𐓘𐓧𐓣	hą́ąpascee, mį́įohką́ce, mį́įǫpa hpąhą́le, omą́įhka heéka, wasápe íikitali
jar	𐓪̄𐓻𐓶́	oožú
jaw	𐓵𐓟̋𐓬𐓘	ðéepa
jealous (e.g., of another's position)	𐓪́𐓸𐓣̄͘	óxįį
jealous (used of a man), man who is jealous	𐓨𐓣́𐓷𐓘𐓰𐓘͘	míwatą
jealous: be ~ about(used of a woman), woman who is jealous	𐓩𐓘́͘𐓷𐓘͘𐓺𐓣	ną́wązi
jealousy	𐓪́𐓸𐓣̄͘	óxįį
Jell-O	𐓷𐓘𐓮𐓤𐓶́𐓟 𐓵𐓣𐓜𐓶́𐓜𐓶𐓹𐓟, 𐓷𐓘𐓮𐓤𐓶́𐓟 š𐓤𐓘́͘š𐓤𐓘́͘	waskúe ðibrúbruɣe, waskúe šką́šką́
jerk hair out	𐓵𐓶̄š𐓰𐓘́š𐓰𐓘𐓣	ðuuštáštai
Jesus Christ	𐓷𐓘𐓥𐓪́𐓰𐓘 𐓣𐓻𐓣́͘𐓤𐓟	wahkóta ižį́ke
job	𐓷𐓘𐓵𐓣́𐓱𐓘͘	waðíhtą
john (toilet)	𐓪𐓻𐓟́𐓳𐓣	ožéhci
joke: make a ~ of something	𐓣𐓸𐓘𐓟̋𐓷𐓘𐓵𐓟	ixaéewaðe
joke: play a ~ on	𐓵𐓣́𐓡𐓪𐓰𐓘	ðíhota
joyous	𐓷𐓘𐓤'𐓘́͘	wakˀą́
judge (verb)	𐓷𐓘́𐓤𐓘𐓺𐓪	wákazo
judgment: use bad ~	𐓣́𐓧𐓘𐓩𐓘͘	ílaną
juice: fruit ~	𐓥𐓘̋͘𐓲𐓟𐓩𐓣̄	hką́ącenii
July	𐓨𐓣̋͘𐓪͘𐓬𐓘 𐓭𐓟𐓵𐓪̋͘𐓬𐓘	mį́įǫpa hpeðǫ́ǫpa
jump (intransitive)	𐓪𐓷𐓣́𐓮𐓣, 𐓷𐓣́𐓮𐓣	owísi, wísi
jump, as when startled	𐓡𐓪́š𐓟𐓴𐓣𐓟	hóšechie
jump over	𐓘́𐓷𐓣𐓮𐓣	áwisi
jumping game	𐓷𐓣́𐓮𐓣𐓤'𐓪͘	wísikˀǫ
June	𐓳𐓟̄r𐓪̋𐓤𐓘 𐓤𐓣š𐓣𐓬𐓣, 𐓳𐓟̄𐓰𐓪̋𐓤𐓘 𐓨𐓘̄͘𐓩𐓘́͘𐓹𐓘𐓬𐓟, 𐓨𐓣̋͘𐓪͘𐓬𐓘 𐓷𐓟š𐓘́𐓭𐓟	hceeróoka kišipi, hceetóoka mąąną́ɣape, mį́įǫpa wešáhpe
just	𐓩𐓘, 𐓩𐓘́͘š𐓤𐓣	na, ną́ški
just now, just a while ago	𐓳𐓟́𐓤𐓘	hcéka
just right, just the right amount	𐓤𐓘̋𐓩𐓘͘	káaną
Kansas gayfeather (Liatris punctata)	𐓨𐓘͘𐓥𐓘́ 𐓮𐓘̄𐓤𐓣́	mąhká saakí
Kaw, Kansa (tribe or tribal member)	𐓥𐓘̋͘𐓺𐓟	hką́ąze
keep (as a souvenir, memento, or treasure)	𐓤𐓣́𐓴𐓟𐓵𐓟	kícheðe
keep on (doing something)	š𐓣́𐓩𐓘͘, š𐓰𐓘͘	šíną, štą
keep on (with the action of the verb)	𐓩𐓘͘𐓩𐓘͘	nąną
keep true to someone's word	𐓣́𐓟 𐓪𐓬š𐓟́	íe opšé
keepsake(s)	𐓷𐓘𐓳𐓟́𐓤𐓘	wahcéka
Kemonah: Carl ~ (personal name: White Mountain)	𐓬𐓘̄𐓸𐓪́𐓮𐓤𐓘	paaxóska
kerosene	𐓷𐓟́𐓧𐓣	wéli
kettle	𐓲𐓟́𐓹𐓟	céɣe
kettle: small	𐓲𐓟́𐓹𐓟𐓻𐓣͘	céɣežį
kettle: soup ~	𐓱𐓘̄𐓩𐓣́𐓟 𐓲𐓟́𐓹𐓟	htaaníe céɣe
key	𐓷𐓟́𐓵𐓶š𐓶𐓬𐓟	wéðušupe
kick (transitive)	𐓩𐓘̄͘𐓮𐓰𐓘́	nąąstá
Kickapoo Indians	𐓤𐓣𐓥𐓘́𐓬𐓪	kihkápo
kidney (human or animal)	𐓮𐓣𐓩𐓪́͘𐓜𐓟	sinǫ́bre
kid(s)	𐓻𐓣͘𐓤𐓘́, 𐓻𐓣͘𐓤𐓘́𐓻𐓣͘	žįká, žįkážį
kids: take care of ~	𐓻𐓣͘𐓤𐓪́𐓤𐓘š𐓘͘	žįkókašą
kill	𐓲'𐓟́𐓵𐓟	cˀéðe
kill oneself	𐓲'𐓟́𐓥𐓣𐓵𐓟	cˀéhkiðe
kill others, kill folks	𐓷𐓘𐓲'𐓟́𐓵𐓟	wacˀéðe
kind	𐓷𐓘𐓵𐓘́𐓤'𐓟𐓵𐓟	waðákˀeðe
kind: be~	𐓣́𐓵𐓘𐓤'𐓟́𐓵𐓟	íðakˀéðe
kind: be~ to each other	𐓵𐓘𐓤'𐓟́𐓥𐓣𐓵𐓟	ðakˀéhkiðe
kind: be~ to one's own or to someone close	𐓵𐓘𐓤'𐓟́𐓤𐓣𐓵𐓟	ðakˀékiðe
kind of (somewhat)	𐓟́𐓤𐓪͘	ékǫ
kind: what ~	𐓡𐓪̋͘𐓸𐓲𐓣͘, 𐓰𐓘̋𐓰𐓘͘	hǫ́ǫxcį, táatą
kindling: fine ~	𐓻𐓘̄͘𐓳𐓶́𐓤'𐓘	žąąhcúkˀa
kindness: show or use ~	𐓣́𐓵𐓘𐓤'𐓟́𐓵𐓟	íðakˀéðe
king (in a deck of cards)	𐓷𐓘𐓱𐓘̋͘	wahtą́ą
kinky	𐓥𐓣𐓥𐓣͘𐓩𐓣͘	hkihkįnį
Kiowa (tribe or tribal member)	𐓭𐓘́ 𐓰𐓪̋𐓥𐓘, 𐓭𐓘́𐓵𐓣͘	hpá tóohka, hpáðį
kiss	𐓣́𐓣́š𐓣͘𐓤𐓘	ííšįka
kiss one's own	𐓣́𐓣́𐓤𐓣š𐓲𐓣͘𐓤𐓘	ííkišcįka
kitchen	𐓪̄𐓡𐓪́͘𐓳𐓣	oohǫ́hci
knead meat with the hand	𐓱𐓘̄𐓵𐓣́𐓣𐓱𐓘͘	htaaðíihtą
knead something with the hand	𐓵𐓣́𐓣𐓱𐓘́͘	ðíihtą́
knee	š𐓣̋͘𐓲𐓟	šį́įce
knee joint	𐓻𐓟𐓤𐓘́ 𐓪́𐓥𐓣𐓴𐓟	žeká óhkiche
kneecap	š𐓣𐓵𐓪́͘𐓲𐓟	šiðǫ́ce
knife	𐓨𐓘̋͘𐓡𐓣͘	mą́ąhį
knock someone in the head	𐓰𐓘̄š𐓟́𐓵𐓟	taašéðe
knock someone out	𐓤𐓘̄𐓧𐓪́͘𐓵𐓣͘, 𐓤𐓘̄𐓩𐓣́𐓟𐓻𐓣, 𐓤𐓘̋𐓮𐓘̄𐓤𐓣	kaalǫ́ðį, kaaníeži, káasaaki
knot: tie a ~	𐓘́𐓤𐓘š𐓤𐓟	ákaške
know (e.g., a fact, the answer to a question)	𐓣́𐓬𐓘𐓡𐓪͘	ípahǫ
know as a person, know someone as	𐓣́𐓬𐓘𐓡𐓪͘	ípahǫ
know for oneself	𐓥𐓣𐓭𐓣́𐓪͘	hkihpíǫ
know how: not ~ (to)	𐓤𐓪́͘𐓻𐓣͘𐓤𐓘	kǫ́žįka
know how to do something	𐓭𐓣́𐓪͘	hpíǫ
labor: be in, labor (during childbirth)	𐓷𐓘𐓩𐓣́𐓟	waníe
lack, be lacking	𐓵𐓣͘𐓤𐓟́	ðįké
lack strength	𐓷𐓘̄š𐓤𐓘́͘𐓵𐓣͘𐓤𐓟́	waašką́ðįké
lacking: be ~	𐓩𐓣́𐓵𐓟	níðe
ladle	𐓳𐓶́ 𐓡𐓘́𐓬𐓘,𐓩𐓣̋𐓵𐓘̄𐓱𐓘͘	hcú hápa,níiðaahtą
lame	𐓷𐓘𐓥𐓶́𐓲'𐓘	wahkúcˀa
lamp	𐓘́𐓰𐓘𐓥𐓘͘	átahką
land	𐓨𐓘́͘𐓻𐓘͘	mą́žą
language	𐓣́𐓟	íe
languid	𐓸𐓬𐓟	xpe
lap (part of the body)	𐓷𐓟̋𐓰𐓘𐓡𐓘	wéetaha
lard	𐓥𐓪𐓥𐓪́𐓮𐓘 𐓷𐓟́𐓧𐓣, 𐓷𐓟́𐓧𐓣	hkohkósa wéli, wéli
large	𐓱𐓘̋͘, 𐓱𐓘́͘𐓤𐓘, 𐓧𐓘̋͘𐓵𐓟	htą́ą, htą́ka, lą́ąðe
large: exceedingly ~	𐓧𐓘̋͘𐓵𐓟 𐓷𐓘́𐓧𐓣͘	lą́ąðe wálį
large: very ~	𐓧𐓘̋͘𐓵𐓟𐓱𐓘͘	lą́ąðehtą
large amount	𐓡𐓶̄𐓱𐓘́͘𐓤𐓘	huuhtą́ka
large number of	𐓡𐓶̄𐓱𐓘́͘𐓤𐓘, 𐓡𐓶̄𐓷𐓘́𐓧𐓣	huuhtą́ka, huuwáli
large quantities: in ~	𐓜𐓪́𐓤𐓘	bróka
last (adjective)	𐓡𐓘𐓘́𐓮𐓣́, 𐓡𐓘̄š𐓣́𐓱𐓘, 𐓪𐓵𐓪́𐓡𐓘𐓤𐓟, 𐓬𐓘𐓵𐓣́𐓱𐓘	haásí, haašíhta, oðóhake, paðíhta
last: the one before ~	𐓤𐓪̄𐓰𐓘́𐓡𐓘	kootáha
last (the most recent)	𐓲𐓟	ce
last day	𐓡𐓘̋͘𐓬𐓘 𐓪𐓵𐓪́𐓡𐓘𐓤𐓟	hą́ąpa oðóhake
last evening	𐓭𐓘́𐓺𐓟𐓲𐓟	hpázece
last night	𐓡𐓘̋͘𐓲𐓟	hą́ące
last summer	𐓰𐓪̄𐓤𐓟́𐓲𐓟	tookéce
late	𐓷𐓘𐓮𐓲𐓶̋𐓲𐓟	wascúuce
late: always ~	𐓪́𐓤𐓸𐓘͘𐓻𐓣	ókxąži
late afternoon	𐓨𐓣́͘𐓣͘𐓭𐓘𐓬𐓪	mį́įhpapo
laugh, laugh at	𐓣̋𐓸𐓘	íixa
laugh: cause folks to ~	𐓣̋𐓸𐓘𐓟̋𐓷𐓘𐓵𐓟	íixaéewaðe
laughable: be ~	𐓣̋𐓸𐓘𐓟̋𐓷𐓘𐓵𐓟	íixaéewaðe
laughing stock	𐓣̄𐓸𐓘𐓟̋𐓷𐓘𐓵𐓟	iixaéewaðe
launder	𐓵𐓣̄š𐓤𐓣́	ðiiškí
laundry: do ~	𐓷𐓘𐓵𐓣́𐓣š𐓤𐓣́	waðíiškí
laundry: do ~ for oneself	𐓥𐓣𐓧𐓣́𐓣š𐓤𐓣́	hkilíiškí
laundry (clothes to wash)	𐓷𐓘𐓵𐓣́𐓣š𐓤𐓣́	waðíiškí
laundry (place), laundry house	𐓷𐓘𐓵𐓣́𐓣š𐓤𐓣́𐓳𐓣	waðíiškíhci
law	𐓪́𐓷𐓘𐓵𐓘̄𐓲𐓟, 𐓷𐓘𐓥𐓣́𐓧𐓘̄𐓲𐓟	ówaðaace, wahkílaace
law enforcement	𐓘́𐓥𐓣𐓰𐓘	áhkita
lawmaker	𐓥𐓣̄𐓮𐓰𐓪́ 𐓪𐓨𐓘͘𐓵𐓣͘, 𐓷𐓘𐓥𐓣́𐓧𐓘̄𐓲𐓟 𐓤𐓘̋𐓹𐓟	hkiistó omąðį, wahkílaace káaɣe
lawn	𐓪š𐓰𐓘́	oštá
laws: make ~ (as in Congress)	𐓷𐓘𐓥𐓣́𐓧𐓘̄𐓲𐓟 𐓤𐓘̋𐓹𐓟	wahkílaace káaɣe
lawyer	𐓷𐓘́𐓥𐓟	wáhke
lay (have sex with)	𐓘𐓵𐓣́͘𐓘𐓻𐓘͘, 𐓴𐓶́𐓟	aðį́ažą, chúe
lay into	𐓤'𐓪́͘𐓡𐓟	kˀǫ́he
laziness	𐓪𐓵𐓶̋𐓲'𐓘𐓤𐓟	oðúucˀake
lazy	𐓪𐓵𐓶̋𐓲'𐓘𐓤𐓟	oðúucˀake
lazy: be ~	𐓪́𐓵𐓶̄𐓲'𐓘𐓤𐓟	óðuucˀake
lead (in a card game)	𐓵𐓟̋ 𐓤𐓘̋𐓹𐓟	ðée káaɣe
lead (metal)	𐓨𐓘́͘𐓺𐓟	mą́ze
lead a life	𐓪́𐓩𐓣𐓥𐓘š𐓣𐓤𐓘	ónihkašika
leaf	𐓻𐓘̄͘𐓬𐓟́	žąąpé
lean	𐓜𐓟́𐓥𐓘	bréhka
lean (used to describe a person or animal)	𐓧𐓘𐓻𐓣̋͘	lažį́į
lean up against	𐓘̋𐓤𐓸𐓘͘, 𐓘́𐓵𐓣̄𐓤𐓸𐓘͘	áakxą, áðiikxą
learn	𐓭𐓣́𐓪͘, 𐓷𐓘𐓵𐓣́𐓧𐓘͘𐓱𐓘̄͘, 𐓷𐓘𐓭𐓣́𐓪͘	hpíǫ, waðíląhtąą, wahpíǫ
learn for oneself	𐓥𐓣𐓭𐓣́𐓪͘	hkihpíǫ
learn how to do something	𐓷𐓘𐓭𐓣́𐓪͘	wahpíǫ
learned: be~	𐓷𐓘𐓧𐓟́𐓺𐓟 𐓭𐓣́𐓪͘	waléze hpíǫ
learning	𐓷𐓘𐓧𐓟́𐓺𐓟𐓘̋𐓲𐓟	walézeáace
lease money	𐓷𐓘̨́𐓺𐓟𐓮𐓤𐓘 𐓪𐓵𐓣𐓰𐓘͘, 𐓪𐓵𐓪́𐓰𐓘͘ 𐓨𐓘́͘𐓺𐓟𐓮𐓤𐓘, 𐓪̄𐓰𐓘́ 𐓨𐓘́͘𐓺𐓟𐓮𐓤𐓘	wą́zeska oðitą, oðótą mą́zeska, ootá mą́zeska
leasing of land	𐓨𐓘́͘𐓻𐓘͘ 𐓪̋𐓰𐓘	mą́žą óota
leastways	𐓩𐓘š𐓪͘	našǫ
leave (as leftovers)	𐓪š𐓲𐓟́	ošcé
leave (depart)	𐓘𐓵𐓟̋	aðée
leave (e.g., a crowd leaving after a dance or other public gatherings)	𐓪𐓤𐓘́𐓜𐓘	okábra
leave (someone)	𐓤𐓣́𐓥𐓪̄𐓬š𐓟	kíhkoopše
leave alone	š𐓪́͘𐓣͘𐓤š𐓟𐓵𐓟	šǫ́įkšeðe
leave alone (a sitting person or thing), leave it alone	š𐓪́͘𐓣͘𐓤š𐓟𐓵𐓟	šǫ́įkšeðe
leave alone! (command)	š𐓪 𐓵𐓣́𐓟	šo ðíe
leave alone without bothering, touching, or otherwise disturbing	š𐓪̨́𐓴𐓟𐓵𐓟́	šǫ́cheðé
leave be! (command)	š𐓪 𐓵𐓣́𐓟	šo ðíe
leave behind	𐓘̋𐓧𐓵𐓵𐓣͘, 𐓪̋͘𐓵𐓟	áalððį, ǫ́ǫðe
leave it alone	𐓤𐓘̄𐓮́𐓪́͘𐓟 𐓴𐓟	kaaśǫ́e che
leave it/him/her (lying down) alone! (command)	š𐓪́͘𐓤𐓮́𐓟𐓵𐓟	šǫ́kśeðe
leave someone	𐓪̋͘𐓵𐓘	ǫ́ǫða
leave someone barely alive	𐓰𐓪𐓩𐓣́𐓵𐓟	toníðe
leaves	𐓻𐓘̋͘𐓬𐓟	žą́ąpe
leaves or leaflike layers: having ~	𐓸𐓘́𐓸𐓘	xáxa
left, lefthand	𐓵𐓘́𐓱𐓘	ðáhta
left over be ~	𐓪š𐓲𐓟́	ošcé
leftover	𐓵𐓘̄𐓲'𐓘́𐓤𐓟, 𐓪š𐓲𐓟́ 𐓴𐓟	ðaacˀáke, ošcé che
leftover amount	𐓪š𐓲𐓟́	ošcé
leftovers (scattered around)	𐓪š𐓲𐓟́ 𐓤𐓟	ošcé ke
leftward	𐓵𐓘́𐓱𐓘	ðáhta
leg	𐓻𐓟𐓤𐓘́	žeká
leg (e.g., of spider)	𐓡𐓶́	hú
legal proceeding	𐓘́𐓥𐓣̄𐓮𐓰𐓪	áhkiisto
legend	𐓪́𐓵𐓘̄𐓤𐓟	óðaake
leggings	𐓡𐓣̋͘𐓪͘𐓤𐓟	hį́įǫke
legislate	𐓷𐓘𐓥𐓣́𐓧𐓘̄𐓲𐓟 𐓤𐓘̋𐓹𐓟	wahkílaace káaɣe
legislator	𐓥𐓣̄𐓮𐓰𐓪́ 𐓪𐓨𐓘͘𐓵𐓣͘	hkiistó omąðį
lemon	𐓥𐓘̋͘𐓲𐓟 𐓺𐓣 𐓲'𐓘̋𐓵𐓟	hką́ące zi cˀáaðe
lend	𐓪𐓤'𐓶́	okˀú
leprechaun	𐓨𐓣́𐓘𐓧𐓪͘š𐓤𐓘	míalǫška
lesbian	𐓨𐓣̋𐓸𐓪́𐓤𐓟	míixóke
less than full amount	𐓪𐓡𐓟́𐓬𐓟	ohépe
lessen	𐓝𐓪̋𐓬𐓘 𐓟𐓤𐓪́͘ 𐓤𐓘̋𐓹𐓟	čóopa ekǫ́ káaɣe
let, let's (see injunctive markers)		
let go	𐓵𐓟̋ 𐓤𐓘̋𐓹𐓟	ðée káaɣe
let it alone, let it be, let it sit	𐓤𐓘̄š𐓪́͘𐓟 𐓴𐓟	kaašǫ́e che
let someone be	š𐓪́͘𐓣͘𐓤š𐓟𐓵𐓟	šǫ́įkšeðe
let someone do something	𐓤š𐓣́𐓵𐓟	kšíðe
let slip (as a comment), let slip away	𐓵𐓣𐓤š𐓣́͘𐓲𐓟	ðikšį́ce
letter	𐓪́𐓵𐓘̄𐓤𐓟 𐓷𐓘𐓧𐓟́𐓺𐓟, 𐓷𐓘́𐓧𐓟𐓺𐓟	óðaake waléze, wáleze
lettuce	𐓭𐓟́𐓻𐓟𐓱𐓪𐓡𐓪	hpéžehtoho
level (adjective)	𐓮𐓰𐓘́𐓤𐓪	stáko
liar	𐓣́𐓸𐓪𐓬𐓟š𐓰𐓘́͘	íxopeštą́
Liatris punctata (grayfeather, blazing star)	𐓨𐓘͘𐓥𐓘́ 𐓮𐓘̄𐓤𐓣́	mąhká saakí
lice	𐓡𐓟̋	hée
lick (verb)	𐓵𐓘̄š𐓰𐓘́𐓬𐓟	ðaaštápe
lick (n, v)	𐓣́𐓸𐓪𐓬𐓟	íxope
lie abed	𐓪́𐓻𐓘͘	óžą
lie down	𐓘́𐓻𐓘͘, 𐓪́𐓻𐓘͘	ážą, óžą
lie down against	𐓘́𐓵𐓣̄𐓤𐓸𐓘͘	áðiikxą
lie down, as to sleep or rest	𐓘̋𐓤𐓸𐓘͘	áakxą
lie down in	𐓪́𐓻𐓘͘	óžą
lie down to sleep	𐓻𐓘́͘𐓘͘	žą́ą
lie to	𐓨𐓘͘𐓹𐓣́𐓵𐓟	mąɣíðe
lie up against	𐓘̋𐓤𐓸𐓘͘	áakxą
life	𐓪𐓩𐓣́𐓥𐓘š𐓣𐓟	oníhkašie
life: lead or live a ~	𐓪́𐓩𐓣𐓥𐓘š𐓣𐓤𐓘	ónihkašika
life: live this~	𐓨𐓘́͘𐓻𐓘͘ 𐓵𐓟́ 𐓪́𐓨𐓘͘𐓵𐓣͘	mą́žą ðé ómąðį
lift (verb)	𐓵𐓶𐓳𐓟́𐓬𐓟, 𐓵𐓶𐓨𐓘́𐓵𐓘, 𐓵𐓶̄𐓨𐓘́͘š𐓣, 𐓬𐓘̄𐓨𐓘́͘š𐓣	ðuhcépe, ðumáða, ðuumą́ši, paamą́ši
lift off	𐓵𐓶𐓸𐓬𐓘́𐓷𐓣	ðuxpáwi
lift someone or something	𐓵𐓣̄𐓡𐓘́͘	ðiihą́
light (noun)	𐓘́𐓰𐓘𐓥𐓘͘	átahką
light in color	𐓹𐓣͘	ɣį
light weight	𐓡𐓘́𐓡𐓘 [LFÐ]	háha [LFÐ]
lighten	𐓵𐓶̄𐓡𐓟𐓬𐓟	ðuuhepe
lighter (noun)	𐓵𐓶̄𐓡𐓟𐓬𐓟̋𐓲𐓟	ðuuhepéece
lightning	𐓧𐓪̋͘ 𐓷𐓘𐓧𐓟́𐓺𐓟, 𐓩𐓣́𐓪͘𐓬𐓘𐓬𐓘	lǫ́ǫ waléze, níǫpapa
lightning: forked ~	𐓵𐓣𐓧𐓟́𐓧𐓟𐓺𐓟	ðiléleze
lightning: grandmother ~	𐓣̄𐓥𐓪́ 𐓧𐓪̋͘	iihkó lǫ́ǫ
lightning strike(s)	𐓤𐓘̄𐓧𐓣́͘	kaalį́
likable	𐓪́𐓤'𐓘͘ 𐓵𐓘̄𐓧𐓣͘	ókˀą ðaalį
like (verb)	𐓤𐓣𐓵𐓘́𐓧𐓣͘, 𐓤𐓣́𐓡𐓪̄͘, 𐓤𐓣́𐓺𐓪	kiðálį, kíhǫǫ, kízo
like: act ~	𐓣́𐓤𐓪͘𐓮𐓤𐓘𐓥𐓣́𐓵𐓟, 𐓪́𐓤'𐓘͘	íkǫskahkíðe, ókˀą
like (similar to)	𐓤𐓪͘𐓺𐓟́𐓤𐓪͘	kǫzékǫ
like each other (resembling each other)	𐓤𐓪͘𐓺𐓟́𐓥𐓣𐓥𐓪͘	kǫzéhkihkǫ
like that or this	𐓟́𐓤𐓪͘	ékǫ
limb of a tree	𐓤𐓘́𐓸𐓘	káxa
limb of a tree: broken ~	𐓻𐓘̋͘𐓤𐓘̄𐓸𐓪́͘	žą́ąkaaxǫ́
limbs of a tree or bush: small ~	𐓻𐓘̋͘𐓻𐓣͘, 𐓻𐓘̋͘𐓸𐓟𐓻𐓣͘	žą́ąžį, žą́ąxežį
line (fishing line)	𐓡𐓪́𐓣𐓺𐓟	hóize
lined (having lines)	𐓧𐓟́𐓺𐓟	léze
lion	𐓨𐓣𐓴𐓪́	michó
lip: broken or split ~	𐓣́𐓡𐓘̄ 𐓻𐓘́𐓱𐓘	íhaa žáhta
liquid	𐓩𐓣̋	níi
liquid medicine	𐓨𐓘͘𐓥𐓘́ 𐓪𐓵𐓘̋𐓱𐓘͘ 𐓟̄𐓩𐓘́͘	mąhká oðáahtą eeną́
liquor	𐓭𐓟̋𐓲𐓟𐓩𐓣̄	hpéecenii
liquor store	𐓭𐓟̋𐓲𐓟𐓩𐓣̄𐓳𐓣	hpéeceniihci
listen, listen to	𐓘́𐓩𐓘͘𐓤'𐓪͘	ánąkˀǫ
louse (noun).	𐓡𐓟̋	hée
love (verb).	𐓵𐓘́ę𐓘͘𐓲𐓟𐓣́𐓤𐓣, 𐓤𐓣𐓵𐓘́𐓧𐓣͘, 𐓤𐓣́𐓡𐓪̄͘	ðáęąceíki, kiðálį, kíhǫǫ
love one's own.	𐓤𐓣́𐓪𐓸𐓰𐓘	kíoxta
loved.	𐓪́𐓸𐓰𐓘	óxta
lower by pulling (e.g., a window shade).	𐓵𐓶̄𐓡𐓶̋𐓲𐓟	ðuuhúuce
lowland.	𐓪𐓺́𐓪	oźo
lukewarm	š𐓰𐓘́𐓤𐓟	štáke
lulu.	𐓵𐓘̄𐓺𐓪́, 𐓷𐓘𐓵𐓘̋𐓺𐓪	ðaazó, waðáazo
lumbago	𐓷𐓘𐓡𐓶́𐓩𐓣	wahúni
lumber.	𐓻𐓘́͘𐓘	žą́a
lunch.	𐓨𐓣̄͘𐓵𐓪́𐓱𐓘 𐓷𐓘𐓩𐓪́͘𐓜𐓟, 𐓪𐓵𐓘̄š𐓲𐓟	mįįðóhta wanǫ́bre, oðaašce
lung.	𐓵𐓪́͘𐓹𐓶	ðǫ́ɣu
lying down (position). (see continuative aspect markets; positional articles)		
macaw	𐓷𐓘𐓻𐓣́͘𐓤𐓘𐓣́𐓟	wažį́kaíe
machine or machinery.	𐓷𐓟́𐓥𐓣𐓤'𐓪͘	wéhkikˀǫ
mad (angry).	𐓧𐓘́͘, 𐓷𐓘𐓻𐓣́͘ 𐓭𐓣̋𐓻𐓣	lą́, wažį́ hpíiži
mad (angry): be ~.	𐓪𐓥𐓣́𐓻𐓣͘	ohkížį
mad (angry): become or get ~.	𐓪́𐓻𐓣͘ 𐓭𐓣̋𐓻𐓣	óžį hpíiži
mad (angry): feel at someone	𐓥𐓣́𐓻𐓣͘, 𐓪𐓥𐓣́𐓻𐓣͘	hkížį, ohkížį
